,Prediction,NextId,Position
41678,l,-1,14
3678,g,-1,6
16668,p,-1,3
16671,p,-1,3
16674,p,-1,3
16677,p,-1,3
16680,p,-1,3
3672,g,-1,6
16683,p,-1,3
16686,p,-1,3
16689,p,-1,3
16692,p,-1,3
16695,p,-1,3
3666,g,-1,6
16698,p,-1,3
16701,p,-1,3
16704,p,-1,3
16707,p,-1,3
16665,p,-1,3
16662,p,-1,3
16659,p,-1,3
16656,p,-1,3
16611,p,-1,3
16614,p,-1,3
16617,p,-1,3
16620,p,-1,3
3696,g,-1,6
16623,p,-1,3
16626,p,-1,3
16629,p,-1,3
16710,p,-1,3
16632,p,-1,3
3690,g,-1,6
16638,p,-1,3
16641,p,-1,3
16644,p,-1,3
16647,p,-1,3
16650,p,-1,3
3684,g,-1,6
16653,p,-1,3
16635,p,-1,3
16608,p,-1,3
3660,g,-1,6
16716,p,-1,3
16773,p,-1,3
16776,p,-1,3
16779,p,-1,3
16782,p,-1,3
16785,p,-1,3
3630,g,-1,6
16788,p,-1,3
16791,p,-1,3
16794,p,-1,3
16797,p,-1,3
16800,p,-1,3
3624,g,-1,6
16803,p,-1,3
16806,p,-1,3
16809,p,-1,3
16812,p,-1,3
16815,p,-1,3
3636,g,-1,6
16770,p,-1,3
16767,p,-1,3
16764,p,-1,3
16719,p,-1,3
16722,p,-1,3
16725,p,-1,3
3654,g,-1,6
16728,p,-1,3
16731,p,-1,3
16734,p,-1,3
16737,p,-1,3
16713,p,-1,3
16740,p,-1,3
16743,p,-1,3
16746,p,-1,3
16749,p,-1,3
16752,p,-1,3
16755,p,-1,3
3642,g,-1,6
16758,p,-1,3
16761,p,-1,3
3648,g,-1,6
3618,g,-1,6
3702,g,-1,6
16602,p,-1,3
16382,g,-1,8
16390,g,-1,8
3762,g,-1,6
16398,g,-1,8
16406,g,-1,8
16414,g,-1,8
16422,g,-1,8
16430,g,-1,8
3756,g,-1,6
16438,g,-1,8
16446,g,-1,8
16454,g,-1,8
16462,g,-1,8
16470,g,-1,8
3750,g,-1,6
16478,g,-1,8
16486,g,-1,8
16374,g,-1,8
16366,g,-1,8
16358,g,-1,8
3768,g,-1,6
3786,g,-1,6
16238,g,-1,8
16246,g,-1,8
16254,g,-1,8
