,Prediction,NextId,Position
0,o,2,1
24340,c,30637,1
7577,e,9470,1
24353,c,30650,1
24366,c,30663,1
24379,c,30676,1
7566,e,9459,1
24392,c,30689,1
24405,c,30702,1
24418,c,30715,1
7555,e,9448,1
24431,c,30728,1
24444,c,30741,1
24457,c,30767,1
7544,e,9437,1
24470,c,30780,1
24483,c,30793,1
24496,c,30806,1
7533,e,9426,1
24509,c,30819,1
24522,c,30845,1
24535,c,30858,1
7522,e,9404,1
24548,c,30884,1
24561,c,30897,1
24574,c,30923,1
7511,e,9382,1
24587,c,30949,1
24327,c,30624,1
24600,c,30962,1
24314,c,30611,1
24301,c,30598,1
7665,e,9569,1
24161,p,30423,1
24168,p,30430,1
24175,p,30437,1
7654,e,9558,1
24182,p,30444,1
24189,p,30458,1
24196,p,30465,1
7643,e,9547,1
24203,p,30472,1
24210,p,30479,1
24217,p,30486,1
7632,e,9536,1
24224,p,30493,1
24231,p,30507,1
24238,p,30514,1
7621,e,9514,1
24245,p,30521,1
24252,p,30542,1
24259,p,30549,1
7610,e,9503,1
24266,p,30563,1
24273,p,30570,1
24280,p,30577,1
7599,e,9492,1
24287,p,30584,1
24294,p,30591,1
7588,e,9481,1
24613,c,30975,1
7500,e,9371,1
24626,c,31001,1
24951,c,31391,1
24964,c,31404,1
7401,e,9239,1
24977,c,31417,1
24990,c,31430,1
25003,c,31443,1
7390,e,9228,1
25016,c,31469,1
25029,c,31482,1
25042,c,31495,1
7379,e,9217,1
25055,c,31508,1
25068,c,31521,1
25081,c,31560,1
7368,e,9173,1
25094,c,31573,1
25107,c,31586,1
25120,c,31599,1
7357,e,9162,1
25133,c,31612,1
25146,c,31625,1
25159,c,31638,1
7346,e,9151,1
25172,c,31651,1
25185,c,31664,1
25198,c,31677,1
7335,e,9129,1
24938,c,31378,1
7412,e,9261,1
24925,c,31365,1
24912,c,31352,1
24639,c,31014,1
24652,c,31027,1
7489,e,9360,1
24665,c,31053,1
24678,c,31066,1
24691,c,31079,1
7478,e,9349,1
24704,c,31092,1
24717,c,31105,1
24730,c,31118,1
7467,e,9338,1
24743,c,31131,1
24756,c,31144,1
24154,p,30409,1
24769,c,31157,1
24782,c,31170,1
24795,c,31183,1
24808,c,31209,1
7445,e,9316,1
24821,c,31222,1
24834,c,31235,1
24847,c,31274,1
7434,e,9305,1
24860,c,31287,1
24873,c,31300,1
24886,c,31313,1
7423,e,9272,1
24899,c,31339,1
7456,e,9327,1
25211,c,31690,1
24147,p,30402,1
7676,e,9580,1
23692,p,29814,1
23699,p,29828,1
