Gamma,C,Accuracy
0.001,0.001,0.092418426
0.001,0.01,0.092418426
0.001,0.1,0.382581574
0.001,1,0.713723608
0.001,10,0.806238004
0.01,0.001,0.092418426
0.01,0.01,0.32293666
0.01,0.1,0.70206334
0.01,1,0.821641075
0.01,10,0.867658349
0.1,0.001,0.092418426
0.1,0.01,0.247360845
0.1,0.1,0.677207294
0.1,1,0.870345489
0.1,10,0.877111324
1,0.001,0.092418426
1,0.01,0.092418426
1,0.1,0.118426104
1,1,0.206381958
1,10,0.223944338
10,0.001,0.092418426
10,0.01,0.092418426
10,0.1,0.106861804
10,1,0.139203455
10,10,0.139203455
0.001,100,0.827399232
0.01,100,0.870297505
0.0001,100,0.806861804
0.0001,1000,0.817754319
0.001,1000,0.839971209
0.01,1000,0.867274472
0.0001,10000,0.809884837
0.1,1000,0.873608445
0.001,10000,0.839491363
1,100,0.209884837
0.01,10000,0.865642994
1,1000,0.209884837
0.1,10000,0.873608445
0.0001,100000,0.816122841
0.001,100000,0.835316699
0.01,100000,0.865547025
1,10000,0.209884837
0.1,100000,0.873608445
0.001,1,0.713723608
0.01,0.1,0.70206334
0.1,0.1,0.677207294
0.001,0.1,0.382581574
0.01,0.01,0.32293666
1,0.001,0.092418426
0.001,0.001,0.092418426
0.01,1,0.821641075
0.001,0.01,0.092418426
0.01,0.001,0.092418426
0.1,0.001,0.092418426
0.1,0.01,0.247360845
10,0.001,0.092418426
0.01,10,0.867658349
0.001,10,0.806238004
1,0.01,0.092418426
10,0.01,0.092418426
0.1,1,0.870345489
10,0.1,0.106861804
1,0.1,0.118426104
0.1,10,0.877111324
1,1,0.206381958
10,1,0.139203455
1,10,0.223944338
10,10,0.139203455
0.05,10,0.886324376
0.06,10,0.88646833
0.07,10,0.884932821
0.08,10,0.882629559
0.09,10,0.879270633
0.1,6,0.876439539
0.1,11,0.875815739
0.1,7,0.876247601
0.1,8,0.875911708
0.1,9,0.875959693
0.1,12,0.8756238
0.11,10,0.871737044
0.12,10,0.866122841
0.13,10,0.859836852
0.14,10,0.852639155
0.15,10,0.843330134
0.1,13,0.875335893
0.1,14,0.875047985
0.1,15,0.874856046
0.1,16,0.874808061
0.1,17,0.874856046
0.1,18,0.874712092
0.1,100,0.874088292
0.1,19,0.874520154
0.1,50,0.873944338
0.1,20,0.874424184
