gamma,c,accuracy
0.001,0.001,0.092418426
0.001,0.01,0.092418426
0.001,0.1,0.382581574
0.001,1,0.713723608
0.001,10,0.806238004
0.01,0.001,0.092418426
0.01,0.01,0.32293666
0.01,0.1,0.70206334
0.01,1,0.821641075
0.01,10,0.867658349
0.1,0.001,0.092418426
0.1,0.01,0.247360845
0.1,0.1,0.677207294
0.1,1,0.870345489
0.1,10,0.877111324
1,0.001,0.092418426
1,0.01,0.092418426
1,0.1,0.118426104
1,1,0.206381958
1,10,0.223944338
10,0.001,0.092418426
10,0.01,0.092418426
10,0.1,0.106861804
10,1,0.139203455
10,10,0.139203455
